"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"Gestão de Marketing","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Fundamentos de Programação para Gestão","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Machine Learning para Negócios","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Introdução a Negócios","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Introdução a Atuária","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Projetos","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Processos","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Governança Corporativa, Gestão de Riscos e Controle Interno","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Macroeconomia Aplicada","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Matemática Aplicada I","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Microeconomia Aplicada","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Mercados Financeiros","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Métodos Multivariados","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Matemática Aplicada II","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Orientação de TCC","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Oficina de Argumentação","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Modelagem para apoio à Tomada de Decisão","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Princípios de Data Science com Python","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Produtos Financeiros","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Perícia e Arbitragem","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business alongside the Base of the Pyramid","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Artificial Intelligence","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business and Sustainability at play in the Amazon","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business and Society","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Teoria da Contabilidade","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business Opportunites in Renewable Energies","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business Ethics","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business-Government Relations","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Business Game Simulation","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Corporate Finance in a Global Environment","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Data Science for Business Development","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"DEIB (Diversity, Equity, Inclusion and Belonging)","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Global Marketing Management","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Future Global Executive","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Global Residency I (e.g., Euro-Africa)","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Global Operations Management","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Environmental, Social and Governance","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Global Residency II (e.g., Asia)","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Economic Decisions in Competitive Environments","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Entrepreneurship","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Leadership Pipeline","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"International Legal Management","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Mergers and Acquisitions","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Managerial Accounting","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
